2,1,5
2,2,3
4,1,3
4,3,4
4,4,4
4,5,4
4,6,4
4,7,3
4,8,4
4,9,4
4,10,3
4,11,4
4,12,3
4,13,4
4,14,4
4,15,3
4,16,4
4,17,4
4,18,3
4,19,4
4,20,4
4,21,4
4,22,3
4,23,3
4,24,4
4,25,3
4,26,4
4,27,3
4,28,4
4,29,3
4,30,4
5,17,3
5,22,4
6,1,3
6,9,3
6,17,3
6,22,4
8,22,3
9,9,3
9,22,2
14,22,3
15,14,2
15,22,1
16,14,4
16,22,2
17,1,3
17,14,3
17,22,1
17,24,2
19,6,4
20,14,3
20,17,4
20,22,2
21,22,2
22,15,1
22,22,2
23,14,5
23,15,5
23,17,4
23,22,1
24,17,2
24,22,2
25,22,3
25,29,4
26,9,3
26,14,4
26,17,3
26,22,3
27,14,5
27,22,3
28,14,4
28,17,2
28,22,2
29,14,4
29,15,4
29,22,2
29,24,3
30,14,4
30,15,4
30,22,2
30,24,3
31,22,3
32,15,2
32,22,3
34,15,4
34,17,4
34,22,2
35,15,3
35,17,4
35,22,3
36,15,3
36,22,3
36,23,3
37,14,5
37,22,3
38,14,4
38,22,3
39,22,2
40,5,4
40,14,4
41,15,4
41,17,4
41,22,2
42,14,4
42,15,4
42,17,3
43,15,4
43,17,4
43,22,2
44,14,4
44,22,3
45,12,3
45,13,1
45,15,3
45,18,1
45,22,1
45,30,1
46,9,3
46,17,2
46,22,2
47,14,4
47,22,3
48,22,5
49,14,3
49,19,4
49,30,3
50,31,4
50,38,3
50,41,3
50,52,3
51,31,3
51,41,3
51,51,2
51,52,2
51,55,3
53,31,2
53,44,1
53,47,2
53,51,2
53,52,3
53,56,3
53,57,2
54,31,3
54,41,3
54,42,4
54,52,4
54,54,3
54,55,4
55,31,2
55,49,3
55,52,3
56,31,2
56,52,2
56,55,2
57,41,4
57,55,3
58,31,4
58,41,4
58,55,4
59,31,4
59,41,4
59,42,3
59,52,3
59,55,4
60,42,3
60,55,3
61,52,3
61,55,2
62,31,3
62,34,3
62,41,5
62,42,3
62,43,3
62,52,2
62,53,4
62,55,4
63,52,3
63,55,3
64,31,4
64,32,4
64,41,5
64,42,4
64,43,3
64,52,3
64,55,3
64,58,3
65,41,5
65,51,4
65,52,4
65,55,4
66,41,4
66,52,4
66,55,3
67,33,5
67,41,4
67,42,3
67,43,3
67,49,3
67,52,3
67,55,4
67,56,5
67,58,2
69,31,3
69,41,2
69,51,5
69,52,4
69,55,4
70,55,3
71,52,3
71,55,3
71,58,2
72,78,4
72,81,3
72,86,3
73,75,2
74,75,4
74,84,3
74,86,4
77,86,3
78,86,4
79,86,3
80,86,4
81,86,3
82,86,4
84,75,3
84,86,5
85,84,3
85,86,4
86,91,3
86,99,3
86,101,4
87,101,4
87,106,5
87,112,4
88,97,4
89,101,5
89,103,5
90,99,3
90,103,2
91,103,2
92,103,4
93,96,4
93,103,4
93,108,4
95,114,5
96,123,4
96,131,4
96,133,3
96,147,2
96,149,3
97,133,4
97,134,5
97,138,5
98,137,4
99,133,5
99,134,3
99,149,3
100,133,2
101,128,2
101,133,2
102,126,2
103,133,3
104,133,4
104,149,4
105,137,4
106,133,4
106,134,3
106,137,3
106,138,3
